ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,region,notes
34827,Javier Fernndez Lpez,M,18.0,171.0,61.0,Spain,ESP,2010 Winter,2010,Winter,Vancouver,Figure Skating,Figure Skating Men's Singles,,Spain,
24619,"Victor Henry Augustus ""Vic"" d'Arcy",M,32.0,172.0,63.0,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 4 x 100 metres Relay,,UK,
19794,Sansanee Changkasiri,F,14.0,170.0,45.0,Thailand,THA,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 200 metres Backstroke,,Thailand,
94904,Yury Igoryevich Pimenov,M,34.0,196.0,94.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxless Pairs,,Russia,
99983,Jesse Banard Renick,M,30.0,188.0,84.0,United States,USA,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,Gold,USA,
72075,Mirko Ldemann,M,20.0,180.0,83.0,Germany,GER,1994 Winter,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,,Germany,
112103,Jean Smet,M,,,,Belgium,BEL,1928 Summer,1928,Summer,Amsterdam,Wrestling,"Wrestling Men's Lightweight, Freestyle",,Belgium,
130202,Erich Wied,M,29.0,,,Germany,GER,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Floor Exercise,,Germany,
56162,Abdul Khalik Juad,M,33.0,180.0,123.0,Iraq,IRQ,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Heavyweight,,Iraq,
117149,Thomas Swindlehurst,M,33.0,,108.0,Liverpool Police Team-2,GBR,1908 Summer,1908,Summer,London,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Silver,UK,
77662,"Michael George ""Mike"" McKay",M,26.0,193.0,92.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,,Australia,
30154,Ioannis Drymonakos,M,16.0,190.0,82.0,Greece,GRE,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Butterfly,,Greece,
79834,Georgeta Militaru-Maca,F,22.0,180.0,80.0,Romania,ROU,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Eights,,Romania,
13063,Emil (Elemr) Bmches von Boor,M,32.0,,,Hungary,HUN,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",,Hungary,
21339,Rajendra Absolem Christy,M,30.0,165.0,58.0,India,IND,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,Bronze,India,
116350,Eddy Sulistianto (Suprapto),M,26.0,171.0,84.0,Indonesia,INA,1988 Summer,1988,Summer,Seoul,Sailing,Sailing Mixed One Person Dinghy,,Indonesia,
9539,"David Martin ""Dave"" Belam",M,24.0,171.0,68.0,Great Britain,GBR,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,,UK,
50561,Heming Hu,M,22.0,179.0,76.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Team,,Australia,
73557,Kai Mahler,M,18.0,170.0,70.0,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Men's Slopestyle,,Switzerland,
39249,Franca Gbodo,F,21.0,155.0,54.5,Nigeria,NGR,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Women's Lightweight,,Nigeria,
1015,Conrad Adriaenssens,M,49.0,,,Belgium,BEL,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",,Belgium,
16640,"Kristan A. ""Kris"" Burley",M,22.0,165.0,66.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Individual All-Around,,Canada,
34012,"Mohamed Muktar Jama ""Mo"" Farah",M,33.0,175.0,58.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 10,000 metres",Gold,UK,
2994,Maria Laura Almiro,F,30.0,162.0,50.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 400 metres Relay,,Brazil,
89165,Oleksandr Romanovych Onishchenko,M,39.0,175.0,76.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Jumping, Individual",,Ukraine,
85381,Christine Nestler (Sldner-),F,27.0,161.0,60.0,East Germany,GDR,1968 Winter,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,,Germany,
104292,Emilio Sagre del Cristo,M,21.0,167.0,63.0,Cuba,CUB,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Parallel Bars,,Cuba,
74566,Melrose Mansaray,F,20.0,165.0,56.0,Sierra Leone,SLE,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 200 metres,,Sierra Leone,
62824,Leonid Leonidovich Korneyenko,M,22.0,187.0,80.0,Belarus,BLR,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Men's Team Sprint,,Belarus,
125180,Giorgio Vanzetta,M,32.0,180.0,70.0,Italy,ITA,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,,Italy,
80192,"Josef ""Jos"" Minsch",M,26.0,174.0,78.0,Switzerland,SUI,1968 Winter,1968,Winter,Grenoble,Alpine Skiing,Alpine Skiing Men's Downhill,,Switzerland,
70214,"Carl Victor ""Vic"" Lindquist",M,23.0,,,Canada,CAN,1932 Winter,1932,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,Canada,
30676,Crystal Alyssia Dunn,F,24.0,157.0,56.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,,USA,
62738,"Olga Valentinovna Korbut (-Bortkevich, -Voynich)",F,17.0,152.0,39.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Team All-Around,Gold,Russia,
76855,Merten Mauritz,M,26.0,190.0,84.0,Austria,AUT,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Foil, Team",,Austria,
49105,Max Hoff,M,33.0,197.0,95.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,Germany,
127446,Jen von Zsigmondy,M,22.0,,,Hungary,HUN,1912 Summer,1912,Summer,Stockholm,Tennis,Tennis Men's Singles,,Hungary,
64209,Erwin Kroggel,M,40.0,,,Germany,GER,1952 Summer,1952,Summer,Helsinki,Fencing,"Fencing Men's epee, Individual",,Germany,
24101,Gyz Cser,M,21.0,168.0,67.0,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Rings,,Hungary,
29952,Vladimir Drazhev,M,21.0,,,Bulgaria,BUL,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,Bulgaria,
109218,Shang Chunsong,F,20.0,143.0,34.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,,China,
61087,Frank Klawonn,M,22.0,196.0,91.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Fours,Gold,Germany,
72369,Nomi Ildiko Lung,F,20.0,175.0,65.0,Romania,ROU,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Individual Medley,Bronze,Romania,
100147,Mariano Daniel Reutemann,M,35.0,174.0,69.0,Argentina,ARG,2012 Summer,2012,Summer,London,Sailing,Sailing Men's Windsurfer,,Argentina,
8183,John Burke Alexander Barry,M,44.0,171.0,,United States,USA,1924 Summer,1924,Summer,Paris,Equestrianism,"Equestrianism Men's Jumping, Team",,USA,
125835,Vida Vencien (Mogenyt-),F,30.0,169.0,63.0,Lithuania,LTU,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,,Lithuania,
68423,Kadri Lehtla,F,28.0,156.0,51.0,Estonia,EST,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 7.5 kilometres Sprint,,Estonia,
85553,Robert Frederick Newbery,M,21.0,174.0,70.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Diving,Diving Men's Springboard,,Australia,
66296,Per Fredric Landelius,M,39.0,,,Sweden,SWE,1924 Summer,1924,Summer,Paris,Shooting,Shooting Men's Trap,,Sweden,
71860,Goran Lozanovski,M,22.0,178.0,86.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,,Australia,
90935,Pan Chien-Hung,M,27.0,165.0,68.0,Chinese Taipei,TPE,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Lightweight,,Taiwan,
47257,Peter Hein,M,24.0,182.0,81.0,East Germany,GDR,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxed Eights,,Germany,
66440,Wolfgang Lange,M,30.0,178.0,73.0,East Germany,GDR,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",,Germany,
99365,Walter Real,M,,,,"La Salle Turnverein, Chicago",USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Team All-Around,,USA,
99732,"Dirkje Johanna ""Desi"" Reijers",F,20.0,170.0,60.0,Netherlands,NED,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Medley Relay,,Netherlands,
58515,Paul Jean Keller,M,22.0,182.0,65.0,France,FRA,1928 Summer,1928,Summer,Amsterdam,Athletics,"Athletics Men's 1,500 metres",,France,
60215,Kim Seon-Ju,F,24.0,156.0,53.0,South Korea,KOR,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Giant Slalom,,South Korea,
124148,Wietse Cornelis van Alten,M,25.0,186.0,72.0,Netherlands,NED,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Team,,Netherlands,
39775,Monika Germann,F,29.0,161.0,51.0,Switzerland,SUI,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,,Switzerland,
132714,Mesut Yava,M,22.0,185.0,81.0,Turkey,TUR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Long Jump,,Turkey,
58898,Sen Keshav,M,36.0,172.0,72.0,India,IND,1960 Summer,1960,Summer,Roma,Shooting,Shooting Men's Trap,,India,
26213,Tonny de Jong (-Knoll),F,27.0,165.0,56.0,Netherlands,NED,2002 Winter,2002,Winter,Salt Lake City,Speed Skating,"Speed Skating Women's 1,500 metres",,Netherlands,
112950,Damir olman,M,19.0,200.0,93.0,Yugoslavia,YUG,1968 Summer,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,Silver,Serbia,Yugoslavia
32253,Joa Anna Elisabeth Elfsberg (Engvall-),F,18.0,177.0,66.0,Sweden,SWE,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,,Sweden,
127101,Angela Voigt (Schmalfeld-),F,25.0,171.0,63.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's Long Jump,Gold,Germany,
118799,Elzira de Ftima Borges Tavares Barros,F,24.0,184.0,86.0,Angola,ANG,2004 Summer,2004,Summer,Athina,Handball,Handball Women's Handball,,Angola,
61291,Adolphe Christiano Klingelhoeffer,M,20.0,,,Brazil,BRA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 60 metres,,Brazil,
15741,Gasto d'Avila Melo Brun,M,31.0,176.0,75.0,Brazil,BRA,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed Three Person Keelboat,,Brazil,
55799,Pierre Jonqures d'Oriola,M,32.0,173.0,70.0,France,FRA,1952 Summer,1952,Summer,Helsinki,Equestrianism,"Equestrianism Men's Jumping, Individual",Gold,France,
126889,Rdolfs Vtols,M,20.0,183.0,74.0,Russia,RUS,1912 Summer,1912,Summer,Stockholm,Athletics,"Athletics Men's 1,500 metres",,Russia,
63338,Igor Kov,M,23.0,183.0,78.0,Czechoslovakia,TCH,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 110 metres Hurdles,,Czech Republic,
72029,Roberto Cesar Lucero,M,25.0,,,Argentina,ARG,1992 Winter,1992,Winter,Albertville,Biathlon,Biathlon Men's 10 kilometres Sprint,,Argentina,
24310,Merewai Cumu,F,18.0,174.0,73.0,Fiji,FIJ,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,,Fiji,
59928,Kim Ha-Yeon,M,21.0,178.0,68.0,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Shooting,Shooting Mixed Skeet,,South Korea,
77167,Modeste M'Bami,M,17.0,172.0,67.0,Cameroon,CMR,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,Gold,Cameroon,
13105,Franco Bonato Gardin,M,34.0,186.0,86.0,Venezuela,VEN,1960 Summer,1960,Summer,Roma,Shooting,Shooting Men's Trap,,Venezuela,
80377,Antonija Miura,F,24.0,181.0,65.0,Croatia,CRO,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,,Croatia,
101385,Shirley Ann Robertson (-Boag),F,32.0,169.0,66.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Women's One Person Dinghy,Gold,UK,
80595,Tatsuo Miyao,M,27.0,164.0,62.0,Japan,JPN,1956 Winter,1956,Winter,Cortina d'Ampezzo,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,,Japan,
51182,Ahmed Husam,M,16.0,175.0,56.0,Maldives,MDV,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,,Maldives,
53538,Nelson Jamili,M,25.0,165.0,48.0,Philippines,PHI,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Flyweight,,Philippines,
93785,Jrg Peter,M,32.0,173.0,63.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,,Germany,
8052,Toms Barraza Barraza,M,28.0,,,Chile,CHI,1936 Summer,1936,Summer,Berlin,Fencing,"Fencing Men's epee, Team",,Chile,
32416,"Stephanus Johannes Paulus ""Fanie"" Eloff",M,38.0,,,South Africa,RSA,1924 Summer,1924,Summer,Paris,Art Competitions,Art Competitions Mixed Sculpturing,,South Africa,
26384,Christian De Lorenzi,M,32.0,172.0,65.0,Italy,ITA,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 10 kilometres Sprint,,Italy,
79434,Giuseppe Michielli,M,28.0,170.0,64.0,Italy,ITA,2014 Winter,2014,Winter,Sochi,Nordic Combined,"Nordic Combined Men's Large Hill / 10 km, Individual",,Italy,
24037,Fernando Cruz,M,19.0,167.0,70.0,Colombia,COL,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's Road Race, Individual",,Colombia,
16910,Charles Butler,M,18.0,175.0,68.0,United States-2,USA,1998 Winter,1998,Winter,Nagano,Figure Skating,Figure Skating Mixed Ice Dancing,,USA,
102591,"Margarete ""Grete"" Rosenberg (-Wildhagen)",F,15.0,,,Germany,GER,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Women's 100 metres Freestyle,,Germany,
25966,Lucien De Brauwere,M,21.0,174.0,63.0,Belgium,BEL,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's Road Race, Individual",,Belgium,
32056,Zahi El-Khoury,M,23.0,180.0,77.0,Lebanon,LIB,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's epee, Individual",,Lebanon,
82022,"Frederick Hilton ""Freddie"" Morgan",M,26.0,,,South Africa,RSA,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",,South Africa,
12937,Anja Bolbjerg (-Hansen),F,30.0,165.0,60.0,Denmark,DEN,2002 Winter,2002,Winter,Salt Lake City,Freestyle Skiing,Freestyle Skiing Women's Moguls,,Denmark,
60232,Kim Seong-Min,M,29.0,190.0,130.0,South Korea,KOR,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Heavyweight,,South Korea,
87283,Aim-Issa Nthp,M,31.0,180.0,70.0,France,FRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,France,
71418,Luis Lpez Hartinger,M,24.0,178.0,76.0,Peru,PER,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 50 metres Freestyle,,Peru,
9608,"Apolinario ""Polin"" Belisle Gmez",M,26.0,175.0,70.0,Honduras,HON,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Marathon,,Honduras,
132739,Ye Li,F,22.0,190.0,83.0,China,CHN,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,,China,
47435,Hans Christian Heller,M,20.0,173.0,65.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Air Rifle, 10 metres",,Sweden,
100976,Marie Riou,F,30.0,171.0,68.0,France,FRA,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Three Person Keelboat,,France,
99844,Ernst Reiter,M,25.0,183.0,78.0,West Germany,FRG,1988 Winter,1988,Winter,Calgary,Biathlon,Biathlon Men's 20 kilometres,,Germany,
47774,Norman Henson,M,18.0,162.0,58.0,Philippines,PHI,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Horse Vault,,Philippines,
15396,Reginald Brooks-King,M,46.0,,,Great Britain,GBR,1908 Summer,1908,Summer,London,Archery,Archery Men's Double York Round,Silver,UK,
123562,Keisuke Ushiro,M,30.0,196.0,95.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,,Japan,
49020,Belinda Jane Hocking,F,17.0,167.0,57.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 200 metres Backstroke,,Australia,
105691,Aleksandar api,M,26.0,188.0,100.0,Serbia and Montenegro,SCG,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,Silver,Serbia,Serbia and Montenegro
47807,Heo Sun-Yeong,F,24.0,180.0,71.0,South Korea,KOR,2000 Summer,2000,Summer,Sydney,Handball,Handball Women's Handball,,South Korea,
84113,Makiko Nagaya,F,24.0,169.0,62.0,Japan,JPN,1980 Winter,1980,Winter,Lake Placid,Speed Skating,"Speed Skating Women's 1,000 metres",,Japan,
16759,Christopher Burton,M,30.0,180.0,70.0,Australia,AUS,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",,Australia,
121464,Hakim Toumi,M,23.0,180.0,109.0,Algeria,ALG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Hammer Throw,,Algeria,
36558,Sylvia Shaqueria Fowles,F,22.0,198.0,90.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Gold,USA,
8298,William Kenneth Charles Bartlett,M,23.0,183.0,75.0,United States,USA,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's Discus Throw,,USA,
65397,Nikolay Alekseyevich Kuznetsov,M,33.0,179.0,74.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Water Polo,Water Polo Men's Water Polo,Bronze,Russia,
86422,Roland Fritz Nilsson,M,27.0,196.0,105.0,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's Shot Put,,Sweden,
50320,Julie Kathryn Howard,F,19.0,173.0,63.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 100 metres Backstroke,,Canada,
132127,Gideon Yablonka,M,22.0,188.0,78.0,Israel,ISR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 200 metres,,Israel,
123081,Erica Elisabeth Udn-Johansson,F,20.0,171.0,72.0,Sweden,SWE,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,,Sweden,
95815,Eduardo Poli,M,19.0,187.0,85.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Butterfly,,Brazil,
4221,Ren Andrle,M,30.0,178.0,70.0,Czech Republic,CZE,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Road Race, Individual",,Czech Republic,
1449,Thomas Ahrens,M,16.0,163.0,50.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Eights,Silver,Germany,
114779,"Janette May ""Jenny"" Steinbeck (-Murray)",F,17.0,171.0,64.0,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,,Australia,
97172,Valentin Ivanovich Prokopov,M,23.0,,,Soviet Union,URS,1952 Summer,1952,Summer,Helsinki,Water Polo,Water Polo Men's Water Polo,,Russia,
11346,Wilhelm Biechl,M,19.0,170.0,63.0,Austria-2,AUT,1968 Winter,1968,Winter,Grenoble,Luge,Luge Mixed (Men)'s Doubles,,Austria,
102745,Daniel Rossi Stajano,M,27.0,,,Uruguay,URU,1948 Summer,1948,Summer,London,Fencing,"Fencing Men's Foil, Team",,Uruguay,
67383,"John Sylvester ""Jack"" Laybourne",M,29.0,,,Great Britain,GBR,1956 Summer,1956,Summer,Melbourne,Football,Football Men's Football,,UK,
92703,Italo Pedroncelli,M,28.0,170.0,67.0,Italy,ITA,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,Italy,
72072,Grace Luczak,F,27.0,191.0,77.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxless Pairs,,USA,
15454,Wouter Brouwer,M,37.0,,,Netherlands,NED,1920 Summer,1920,Summer,Antwerpen,Fencing,"Fencing Men's Foil, Team",,Netherlands,
50803,Roger Beresford Hudson,M,34.0,177.0,72.0,South Africa,RSA,2012 Summer,2012,Summer,London,Sailing,Sailing Men's Two Person Dinghy,,South Africa,
